date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:59	16821/16821	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:39:58%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/logo-oracle.jpg?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/logo-oracle8f03.jpg	(from https://bouquetbar.com/)
20:40:00	23504/23504	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:39:57%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/logo-neiman-marcus.jpg?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/logo-neiman-marcus8f03.jpg	(from https://bouquetbar.com/)
20:40:00	117609/117609	---M--	200	added ('OK')	image/gif	date:Mon,%2025%20Feb%202019%2013:39:45%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/products/For-Her_600x.gif?v=1524173295	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/products/For-Her_600x103b.gif	(from https://bouquetbar.com/)
20:40:00	4241/4241	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:40:01%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/Rolls-Royce.jpg?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/Rolls-Royce8f03.jpg	(from https://bouquetbar.com/)
20:40:01	26786/26786	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:39:59%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/logo-four-seasons.jpg?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/logo-four-seasons8f03.jpg	(from https://bouquetbar.com/)
20:40:04	38326/38326	---M--	200	added ('OK')	image/gif	date:Mon,%2025%20Feb%202019%2013:40:02%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-ameen.gif?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-ameen8f03.gif	(from https://bouquetbar.com/)
20:40:06	37818/37818	---M--	200	added ('OK')	image/gif	date:Mon,%2025%20Feb%202019%2013:40:02%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-araceli.gif?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-araceli8f03.gif	(from https://bouquetbar.com/)
20:40:07	33925/33925	---M--	200	added ('OK')	image/gif	date:Mon,%2025%20Feb%202019%2013:40:03%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-helen.gif?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-helen8f03.gif	(from https://bouquetbar.com/)
20:40:07	32814/32814	---M--	200	added ('OK')	image/gif	date:Mon,%2025%20Feb%202019%2013:40:04%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-karen.gif?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/google-review-karen8f03.gif	(from https://bouquetbar.com/)
20:40:07	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-152b5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from https://bouquetbar.com/)
20:40:08	4950/4950	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c65956d2fb7489c01da257555ca1d0519f3e24%22	https://cdn.rawgit.com/stevenmonson/googleReviews/6e8f0d79/google-places.js	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.rawgit.com/stevenmonson/googleReviews/6e8f0d79/google-places.js	(from https://bouquetbar.com/)
20:40:08	11261/11261	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Feb%202019%2013:40:09%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/Freshness-100.png?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/Freshness-1008f03.png	(from https://bouquetbar.com/)
20:40:10	177458/177458	---MCZ	200	added ('OK')	text/html	etag:cacheable:31f125be6bb861c81ac45cda507cb098	https://bouquetbar.com/pages/contact	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/pages/contact.html	(from https://bouquetbar.com/)
20:40:11	3888/3888	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Feb%202019%2013:40:11%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/Shark_Tank_Logo2.png?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/Shark_Tank_Logo28f03.png	(from https://bouquetbar.com/)
20:40:11	1166/1166	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Feb%202019%2013:40:12%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-people-magazine.png?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-people-magazine8f03.png	(from https://bouquetbar.com/)
20:40:11	1524/1524	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Feb%202019%2013:40:12%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-good-day.png?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-good-day8f03.png	(from https://bouquetbar.com/)
20:40:12	1398/1398	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Feb%202019%2013:40:13%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-KTLA5.png?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-KTLA58f03.png	(from https://bouquetbar.com/)
20:40:12	1964/1964	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:40:13%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-uproxx.jpg?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-logo-uproxx8f03.jpg	(from https://bouquetbar.com/)
20:40:12	42556/42556	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:40:11%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/boardroom-hero-666.jpg?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/boardroom-hero-6668f03.jpg	(from https://bouquetbar.com/)
20:40:13	1880/1880	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:40:14%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-fox5.jpg?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/featured-fox58f03.jpg	(from https://bouquetbar.com/)
